type,name,label::English,label::Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,,,,,,,,,,,
end_group,education,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,livelihoods,Livelihoods survey,الحياة المعيشية,,,,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
select_one ynd1,covid_loss_job,60. Has any member of your household lost their job permanently or temporarily as a result of the COVID-19 outbreak (including yourself if you lost your job)? ,هل فقد أي فرد من أسرتك وظيفته بشكل دائم أو مؤقت نتيجة لتفشي فيروس COVID-19 (بما في ذلك انت )؟,"Job losses should be directly attributable to COVID-19 policies, health issues from COVID-19, etc.","يجب أن يعزى فقدان الوظائف مباشرة إلى السياسات التي تم اتخاذها بسبب الفيروس COVID-19 ، والقضايا الصحية من الفيروس COVID-19 ، وما إلى ذلك. إذا لم يكن هناك شيء ، فأدخل 0.",true,,,,,,,,,,,,,,,,,,,
begin_group,covid_employment,Loss of employment due to COVID-19,فقدان الوظيفة بسبب الفيروس,,,,"selected(${covid_loss_job}, 'yes')",,,,,,field-list,,,,,,,,,,,,
note,covid_job_note,"61.1 If yes, how many members of your household have lost their job permanetly and how many temporarily?","كم عدد أفراد أسرتك ، إن وجد ، الذين فقدوا وظائفهم بشكل دائم أو مؤقت نتيجة لتفشي الفيروس COVID-19 (بما في ذلك انت إن كنت قد فقدت وظيفتك)؟","Job losses should be directly attributable to COVID-19 policies, health issues from COVID-19, etc. If none, enter 0.","يجب أن يعزى فقدان الوظائف مباشرة إلى السياسات التي تم اتخاذها بسبب الفيروس COVID-19 ، والقضايا الصحية من الفيروس COVID-19 ، وما إلى ذلك. إذا لم يكن هناك شيء ، فأدخل 0.",,,,,,,,,,,,,,,,,,,,
integer,covid_loss_job_permanent,Number of household members who permanently lost their job as a result of the COVID-19 outbreak,عدد أفراد الأسرة الذين فقدوا وظائفهم بشكل دائم نتيجة لتفشي الفيروس COVID-19,,,true,,,.<=${num_hh_member},Number cannot be bigger than household size,ا يمكن أن يكون الرقم أكبر من عدد الأشخاص  الأسرة,,minimal,,,,,,,,,,,,
integer,covid_loss_job_temp,Number of household members who temporarily lost their job as a result of the COVID-19 outbreak,عدد أفراد الأسرة الذين فقدوا وظائفهم مؤقتًا نتيجة لتفشي الفيروس COVID-19,,,true,,,.<=${num_hh_member},Number cannot be bigger than household size,ا يمكن أن يكون الرقم أكبر من عدد الأشخاص  الأسرة,,minimal,,,,,,,,,,,,
end_group,covid_employment,,,,,,,,,,,,,,,,,,,,,,,,
integer,tot_expenses,62. Could you estimate your household's total expenditure (in IQD) over the last 30 days?,هل يمكنك تقدير إجمالي إنفاق أسرتك (بالدينار العراقي) خلال الثلاثين يومًا الماضية؟,,,true,,,.=0 or .>=999 and .<= 10000000,,,,,,,,,,,,,,,,
begin_group,expenses,,,,,,,,,,,,field-list,,,,,,,,,,,,
note,exp_note,"63. During the past 30 days, how much did your household spend (in IQD) on each of the following categories?","خلال الثلاثين يومًا الماضية ، كم أنفقت أسرتك (بالدينار العراقي) على كل فئة من الفئات التالية؟","Please enter the FULL IQD amount (i.e. 1,000 IQD)",الرجاء ادخال الرقم بشكل كامل بالدينار العراقي ( مثال: 1000 دينار),,,,,,,,,,,,,,,,,,,,
integer,rent_exp,63.1 Rent,الايجار,,,true,,,.=0 or .>=999 and .<= 10000000,,,,,,,,,,,,,,,,
integer,medical_exp,63.2 Medical care (including medicines),الرعاية الصحية ( بما فيها الادوية),,,true,,,.=0 or .>=999 and .<= 10000000,,,,,,,,,,,,,,,,
integer,food_exp,63.3 Food,الغذاء,,,true,,,.=0 or .>=999 and .<= 10000000,,,,,,,,,,,,,,,,
calculate,calc_expenditure,,,,,,,,,,,${rent_exp}+${medical_exp}+${food_exp},,,,,,,,,,,,,
note,exp_compare,"The expenditure for rent, medical care and food cannot be larger than the total expenditure",لا يمكن أن يكون الإنفاق على الإيجار والرعاية الطبية والغذاء أكبر من إجمالي الإنفاق,,,true,${calc_expenditure} > ${tot_expenses},,,,,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,,,,,,,
select_multiple livelihood_type,primary_livelihood,64. What were your household's primary income sources over the last 30 days?  (do not read out from list),ماذا كانت مصادر الدخل الأساسية للاسرة الخاصة بك على مدى 30 يوما الماضية؟  ( لا تقرأ من القائمة ),,,true,,,"if(selected(.,'none'), count-selected(.)=1, count-selected(.)>=1)","Cannot select ""None"" together with any other option",لا ينبغي تحديد ( لاشيئ ) مع خيار آخر,,,,,,,,,,,,,,
text,primary_livelihood_other,"64.1 if other, specify please","إذا أخرى, الرجاء الشرح",,,true,"selected(${primary_livelihood},'other')",,,,,,,,,,,,,,,,,,
select_one ynd,employment_seasonal,65. Is all of this employment seasonal/temporary?,هل كل هذا العمل او التوظيف مؤقت او موسمي؟,,,true,"selected(${primary_livelihood},'employment')",,,,,,,,,,,,,,,,,,
integer,inc_employment_pension,66. Could you estimate your household's total income (in IQD) from employment and pension over the last 30 days?, هل يمكنك تقدير إجمالي دخل أسرتك (بالدينار العراقي) من العمل والراتب التقاعدي على مدار الثلاثين يومًا الماضية؟,,,true,,,.=0 or .>=9999  and .<= 100000000,,,,,,,,,,,,,,,,
integer,how_much_debt,"67. What is your household's total amount of debt, in IQD?","بالدينار العراقي,كم من الدين المستحق على اسرتك  ؟",,,true,,,.=0 or .>=999,,,,,,,,,,,,,,,,
select_one reasons_for_debt,reasons_for_debt,67.1 What was the primary reason behind taking on debt?,ما ذا كان السبب الرئيسي وراء اقتراض المال؟,,,true,${how_much_debt}>0,,,,,,,,,,,,,,,,,,
text,other_reasons_for_debt,"67.2 If other, specify please","إذا أخرى, الرجاء الشرح",,,true,"selected(${reasons_for_debt},'other')",,,,,,,,,,,,,,,,,,
select_one place3,market_place,68. For how long do members of your household have to travel on foot to reach the nearest operational marketplace or grocery store?,لكم من الوقت يتعين على الاسرة للسير مشياً للوصول الى اقرب سوق او محل بقالة يعمل؟,30 minutes walking = 2 km (approximately),30دقيقة مشي أي مايعادل 2كم بشكل تقريبي,true,,,,,,,,,,,,,,,,,,,
end_group,livelihoods,,الحياة المعيشية,,,,,,,,,,,,,,,,,,,,,,
begin_group,protection,Protection survey,الحماية,,,,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
select_one ynd,hlp_document,"69. Does you household own valid documentation indicating land tenure or rental agreement for the property you are currently living in, or own elsewhere?",هل تمتلك أسرتك وثائق صالحة تشير إلى حيازة الأرض أو اتفاقية الإيجار للعقار الذي تعيش فيه حاليًا أو تملكه في مكان آخر؟,,,true,,,,,,,,,,,,,,,,,,,
select_one yndd,hh_dispute,"70. Is the property you are currently living in, or own elsewhere, under any kind of dispute?",هل الملكية التي تعيش فيها حالياً أو تملكها في مكان آخر تحت أي نوع من انواع النزاع؟,A dispute is if someone is contesting ownership over the property.,النزاع هو اذا ماكان شخص ما يتنافس على ملكية العقار,true,,,,,,,,,,,,,,,,,,,
select_one yndd,hh_risk_eviction,71. Is your household presently at risk of eviction?,هل تخشى اسرتك حاليا من خطر الاخلاء؟,,,true,,,,,,,,,,,,,,,,,,,
note,ref_evic,"This is household is presently at risk of eviction, please refer to the Iraq Information Centre (IIC) hotline 800 6 9999","هذه الاسرة معرّضة لخطر الاخلاء، يرجى الرجوع الى رقم الخط الساخن لمركز معلومات العراق    ICC) 800 6 9999)     ",,,,"selected(${hh_risk_eviction}, 'yes')",,,,,,,,,,,,,,,,,,
select_multiple eviction,hh_main_risks,71.1 What are the main reasons for fearing eviction?,ماهي الاسباب الرئيسية لخطر الإخلاء بالنسبة للاسرة؟,,,true,"selected(${hh_risk_eviction}, 'yes')",,,,,,,,,,,,,,,,,,
text,hh_main_risks_other,"71.2 If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف",,,true,"selected(${hh_main_risks}, 'other')",,,,,,,,,,,,,,,,,,
select_one property_damaged,property_damaged,"72. Was housing, land or property that you own damaged during the conflict?",هل تضررت المساكن أو الأرض أو الممتلكات التي كنت تمتلكها أثناء النزاع؟,,,true,,,,,,,,,,,,,,,,,,,
select_one yndd,aware_compensation,"73. Are you aware of any land, housing or property compensation mechanism?",هل أنت على دراية بأي آلية لتعويض الأراضي أو المساكن أو الممتلكات؟,,,true,"selected(${property_damaged},'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,applied_compensation,"73.1 Have you applied for housing, land or property compensation?",هل تقدمت بطلب للحصول على تعويض عن السكن أو الأرض أو العقار؟,,,true,"selected(${property_damaged},'yes') and selected(${aware_compensation}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,received_compensation,"73.2 Have you received any cash from the government as a result of your housing, land or property compensation application?",هل تلقيت أي مبالغ نقدية من الحكومة نتيجة لطلبك للحصول على تعويض عن السكن أو الأرض أو العقار؟,,,true,"selected(${applied_compensation},'yes')",,,,,,,,,,,,,,,,,,
select_one ynd_doc,pds_card,74. Does your household have a valid PDS card?,هل تمتلك اسرتك بطاقة تموينية نافذة او صالحة؟,,,true,,,,,,,,,,,,,,,,,,,
begin_group,missing_documents_above_18,Missing documents above 18,,For EVERY person in HH ABOVE 18!,لكل الاشخاص في الاسرة فوق ال18 سنة,true,,,,,,,field-list,,,,,,,,,,,,
note,note_missing_documents_above_18,"78. Does every person above 18 in your household have the following documents? This means you have it, it is valid, and it is stored in a secure place.","هل لدى كل شخص فوق 18 عامًا في منزلك الوثائق التالية؟ هذا يعني أنه لديك ، إنه نافذ ،  و  يتم حفظه في مكان آمن.",,,,,,,,,,,,,,,,,,,,,,
select_one yndd,id_card_a18,78.1 National ID card or unified ID card,هوية الاحوال المدنية او  البطاقة الموحدة, Unified ID replaces both ID card and nationality certificate.,الهوية الموحدة تحل محل كل من بطاقة الهوية وشهادة الجنسية.,true,,,,,,,,,,,,,,,,,,,
select_one yndd,nationality_cert_a18,78.2 Nationality certificate or unified ID card,بطاقة الجنسية او البطاقة الموحدة, Unified ID replaces both ID card and nationality certificate.,الهوية الموحدة تحل محل كل من بطاقة الهوية وشهادة الجنسية.,true,,,,,,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,missing_documents_under_18,Missing documents under 18,الوثائق المفقودة للافراد تحت سن ال18,For EVERY person in HH UNDER 18!,لكل الاشخاص في الاسرة تحت ال18 سنة,true,,,,,,,field-list,,,,,,,,,,,,
note,note_missing_documents_under_18,"79. Does every person under 18 in your household have the following documents? This means you have it, it is valid, and it is stored in a secure place.","هل لدى كل شخص تحت سن ال 18 عامًا في منزلك الوثائق التالية؟ هذا يعني أنه لديك ، إنه نافذ ،  و  يتم حفظه في مكان آمن.",,,,,,,,,,,,,,,,,,,,,,
select_one yndd,id_card_u18,79.1 National ID card or unified ID card,هوية الاحوال المدنية او  البطاقة الموحدة, Unified ID replaces both ID card and nationality certificate.,الهوية الموحدة تحل محل كل من بطاقة الهوية وشهادة الجنسية.,true,,,,,,,,,,,,,,,,,,,
select_one yndd,nationality_cert_u18,79.2 Nationality certificate or unified ID card,بطاقة الجنسية او البطاقة الموحدة, Unified ID replaces both ID card and nationality certificate.,الهوية الموحدة تحل محل كل من بطاقة الهوية وشهادة الجنسية.,true,,,,,,,,,,,,,,,,,,,
select_one yndd,birth_cert_u18,79.3 Birth certificate,شهادة الميلاد,,,true,,,,,,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,,,,,,,
select_one yes_no,ref_docs,80. Would you like us to get your contact information to refer you to legal support services?,هل تحب ان نحصل على معلومات الاتصال الخاصة بك لإحالتك إلى خدمات الدعم القانونية؟,,,true,"selected(${pds_card}, 'no') or selected(${id_card_a18}, 'no') or selected(${nationality_cert_a18}, 'no') or selected(${id_card_u18}, 'no')  or selected(${nationality_cert_u18}, 'no') or selected(${birth_cert_u18}, 'no') or selected(${hh_risk_eviction}, 'yes')",,,,,,,,,,,,,,,,,,
text,referral_contact,"80.1 Referral, name and contact information",الإحالة والاسم ومعلومات الاتصال,,,true,"selected(${ref_docs},'yes')",,,,,,,,,,,,,,,,,,
begin_group,restrictions,Movement restrictions,قيود في الحركة,,,true,,,,,,,field-list,,,,,,,,,,,,
note,movement_restrictions,"81. In the past month, has anyone in your HH experienced restrictions in their ability to move freely in your area in day light?","في الشهر الماضي ، هل عانى أي شخص من اسرتك من قيود في التحرك بحرية في منطقتك أثناء النهار؟",,,,,,,,,,,,,,,,,,,,,,
select_one yndd,restriction_clearance,81.1 Needing to obtain security clearance / coupons,الحاجة إلى الحصول على تصريح أمني / كوبونات,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd_covid,restriction_clearance_covid,"If yes, was this restriction related to government restrictions due to COVID-19?","اذا نعم، هل كانت هذه القيود بسبب قيود الحكومة المتعلقة بالفيروس كورونا؟",,,true,"selected(${restriction_clearance}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,restriction_documents,81.2 Needing to show ID documents to civilian authorities or security actors,الحاجة إلى إظهار وثائق الهوية للسلطات المدنية أو الجهات الأمنية,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd_covid,restriction_documents_covid,"If yes, was this restriction related to government restrictions due to COVID-19?","اذا نعم، هل كانت هذه القيود بسبب قيود الحكومة المتعلقة بالفيروس كورونا؟",,,true,"selected(${restriction_documents}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,restriction_time,81.3 Time restrictions on when to leave and return,"قيود في التوقيت، اي على وقت المغادرة والعودة",,,true,,,,,,,,,,,,,,,,,,,
select_one ynd_covid,restriction_time_covid,"If yes, was this restriction related to government restrictions due to COVID-19?","اذا نعم، هل كانت هذه القيود بسبب قيود الحكومة المتعلقة بالفيروس كورونا؟",,,true,"selected(${restriction_time}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,restriction_reason,"81.4 Needing to provide a specific reason for movement (employment, medical, school)","الحاجة إلى تقديم سبب محدد للحركة (التوظيف ، اسباب صحية ، المدرسة)",,,true,,,,,,,,,,,,,,,,,,,
select_one ynd_covid,restriction_reason_covid,"If yes, was this restriction related to government restrictions due to COVID-19?","اذا نعم، هل كانت هذه القيود بسبب قيود الحكومة المتعلقة بالفيروس كورونا؟",,,true,"selected(${restriction_reason}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,restriction_physical,81.5 Physical road blocks,حواجز على الطرقات,,,true,,,,,,,,,,,,,,,,,,,
select_one ynd_covid,restriction_physical_covid,"If yes, was this restriction related to government restrictions due to COVID-19?","اذا نعم، هل كانت هذه القيود بسبب قيود الحكومة المتعلقة بالفيروس كورونا؟",,,true,"selected(${restriction_physical}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yes_no,restriction_other,81.6 Other,اخرى,,,true,,,,,,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,,,,,,,
text,restriction_type_other,"81.7 If other, please specify","اذا اخرى، الرجاء التحديد",,,true,"selected(${restriction_other},'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,feel_unsafe,82. Are there any areas in your location where women and girls feel unsafe?,هل توجد مناطق في موقعك تشعر فيها النساء والفتيات بعدم الأمان؟,,,true,,,,,,,,,,,,,,,,,,,
select_multiple unsafe_areas,unsafe_areas,"82.1 If yes, what areas do women and girls in your community avoid or feel unsafe?"," إذا نعم ، ما هي المناطق التي تتجنبها النساء والفتيات في مجتمعك أو تشعر بعدم الأمان فيها؟",,,true,"selected(${feel_unsafe},'yes')",,"if(selected(.,'do_not_know'), count-selected(.)=1, count-selected(.)>=1)","Cannot select ""Don't know"" together with any other option","لا يمكن اختيار ""لا أعرف"" مع خيار آخر",,,,,,,,,,,,,,
select_one yndd,security_incident,83. Have you or any member of your household been affected by a safety or security incident in the last 30 days?,هل تأثرت أنت أو أي فرد من أفراد أسرتك بحادثة امنية او سلامة خلال آخر 30 يومًا؟,,,true,,,,,,,,,,,,,,,,,,,
select_one incident_gender,security_incident_gender,"83.1 If yes, is the person male or female?","إذا كانت الإجابة نعم ، فهل الشخص ذكر أم أنثى؟",,,true,"selected(${security_incident}, 'yes')",,,,,,,,,,,,,,,,,,
select_multiple disciplinary_measures,disciplinary_measures,84. Adults use certain ways to teach children the right behavior or to address a behavior problem. I will read various methods that are used. Please tell me if you or any other adult in your household has used this method with your children the past 30 days. ,يستخدم الكبار طرقًا معينة لتعليم الأطفال السلوك الصحيح أو معالجة مشكلة سلوكية. سأقرأ الأساليب المختلفة التي يتم استخدامها. يُرجى إخباري إذا كنت أنت أو أي شخص بالغ آخر في أسرتك قد استخدم هذه الطريقة مع أطفالك خلال الثلاثين يومًا الماضية,,,true,${tot_child}>0,,"if(selected(.,'no_answer'), count-selected(.)=1, count-selected(.)>=1)","Cannot select ""None"" together with any other option",لا ينبغي تحديد ( لاشيئ ) مع خيار آخر,,,,,,,,,,,,,,
select_one yndd,risk_education,"84.1 Have you or any member of your household received any information, education or training about the risk of explosive ordnance?",هل تلقيت أنت أو أي فرد من أفراد أسرتك أي معلومات أو تعليم أو تدريب حول خطر الذخائر المتفجرة؟,,,true,,,,,,,,,,,,,,,,,,,
end_group,protection,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,accountability,Accountability to affected populations,المساءلة على السكان المتضررين,,,,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
select_multiple info_aid,info_aid,85. What type of information would you like to receive from humanitarian actors (top 3)? Please specify your top 3 priorities.,ما نوع المعلومات التي ترغب في تلقيها من الجهات الفاعلة الإنسانية (أاختر اهم 3)؟,,,true,,,"not(selected(.,'none') and count-selected(.)>1) and count-selected(.)<=3","You cannot select more than 3 options. You cannot select ""do not know"" or ""decline to answer"" and any other options.",لايجوز تحديد اكثر من  3 خيارات. لا يجوز تحديد لا اعلم مع خيار آخر,,,,,,,,,,,,,,
text,info_aid_other,"85.1 if other, please describe","اذا اخرى، الرجاء التحديد",,,true,"selected(${info_aid},'other')",,,,,,,,,,,,,,,,,,
select_multiple info_provider,info_provider,86. Who/where do you currently receive information from (top 3)?,مِن مَن او اين تتلقى المعلومات حاليا ( اختر اهم 3),,,true,${calc_idp} = 1,,count-selected(.)<=3,You cannot select more than 3 options.,لا يجوز تحديد اكثر من 3 خيارات,,,,,,,,,,,,,,
select_multiple info_provider_ret,info_provider_ret,86. Who/where do you currently receive information from (top 3)?,مِن مَن او اين تتلقى المعلومات حاليا ( اختر اهم 3),,,true,${calc_returnee} = 1,,count-selected(.)<=3,You cannot select more than 3 options.,لا يجوز تحديد اكثر من 3 خيارات,,,,,,,,,,,,,,
text,info_provider_other,"86.1 if other, please describe","اذا اخرى، الرجاء التحديد",,,true,"selected(${info_provider},'other') or selected(${info_provider_ret},'other')",,,,,,,,,,,,,,,,,,
select_multiple info_mode,info_mode,87. What is your preferred mode of receiving the information (top 3)?,ماهي الوسائل المفضلة لديك لتلقي المعلومات ( اختر اهم 3)؟,,,true,,,count-selected(.)<=3,You cannot select more than 3 options.,لا يجوز تحديد اكثر من 3 خيارات,,,,,,,,,,,,,,
text,info_mode_other,"87.1 if other, please describe","اذا كان الجواب اخر ,الرجاء الوصف",,,true,"selected(${info_mode},'other')",,,,,,,,,,,,,,,,,,
select_one ynd,aid_received,88. Have you received aid in the past 30 days?,هل استلمت معونات او مساعدات خلال ال30 يوما الماضية؟,,,true,,,,,,,,,,,,,,,,,,,
select_multiple aid_type,aid_type,88.1 What type of assistance/aid did you receive?,مانوع المساعدة التي استلمتها؟,,,true,"selected(${aid_received},'yes')",,,,,,,,,,,,,,,,,,
select_one yndd,aid_satisfaction,"89. If you have received aid in the last 30 days, are you satisfied with the aid you received?","اذا نعم، هل انت راضٍ عن المساعدة التي استلمتها؟",,,true,"selected(${aid_received},'yes')",,,,,,,,,,,,,,,,,,
select_multiple aid_not_satisfied,aid_not_satisfied,"89.1 If you have received aid in the last 30 days and were not satisfied, what is the main reason why you were not satisfied with the aid received?","اذا كنت قد تلقيت المساعدة خلال ال30 يوما الماضية ولم تكن راضيا بها، ماسبب عدم رضاك؟",,,true,"selected(${aid_satisfaction},'no')",,,,,,,,,,,,,,,,,,
text,aid_not_satisfied_other,"89.2 if other, please describe","اذا كان الجواب اخر ,الرجاء الوصف",,,,"selected(${aid_not_satisfied},'other')",,,,,,,,,,,,,,,,,,
select_one yndd,aid_workers_satisfied,90. Are you satisfied with the way aid workers have behaved in the last 6 months in your location?,هل انت راضٍ عن التصرّف الذي قام به عمال الاغاثة خلال ال6 اشهر الماضية في موقعك؟,,,true,"selected(${aid_received},'yes')",,,,,,,,,,,,,,,,,,
text,aid_workers_whyno,"90.1 If not, why not?","اذا كلا، مالسبب؟",,,true,"selected(${aid_workers_satisfied},'no')",,,,,,,,,,,,,,,,,,
select_one yndd,complaint_mechanisms,91. Are you aware of how to access complaint mechanisms?,هل أنت على علم بكيفية الوصول إلى آليات الشكوى؟,,,true,"selected(${aid_received},'yes')",,,,,,,,,,,,,,,,,,
select_one ynd,covid_info_need,92. Do you currently need more information about COVID-19?,هل تحتاج حاليا الى معلومات اضافية اكثر حول الفيروس كورونا؟,,,true ,,,,,,,,,,,,,,,,,,,
select_multiple covid_info_type,covid_info_type,"92.1 If yes, what type of information do you need?","اذا نعم، مانوع المعلومات التي تحتاجها؟",,,true ,"selected(${covid_info_need},'yes')",,"if(selected(.,'do_not_know'), count-selected(.)=1, count-selected(.)>=1)","Cannot select ""Don't know"" together with any other option","لا يمكن اختيار ""لا أعرف"" مع خيار آخر",,,,,,,,,,,,,,
text,covid_info_type_other,"92.3 If other, please specify","اذا اخرى، الرجاء التحديد",,,true ,"selected(${covid_info_type},'other')",,,,,,,,,,,,,,,,,,
end_group,accountability,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,intentions,Intention survey,النوايا,,,,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
select_one intention,movement_intentions,93. What are your household's current movement intentions for the next three months?,ماهي نوايا الانتقال الحالية بالنسبة للاسرة خلال الأشهر الثلاثة القادمة؟,,,true,${calc_idp} = 1,,,,,,,,,,,,,,,,,,
select_one intention_nonidp,movement_intentions_b,93. What are your household's current movement intentions for the next three months?,ماهي نوايا الانتقال الحالية بالنسبة للاسرة خلال الأشهر الثلاثة القادمة؟,,,true,${calc_returnee} = 1,,,,,,,,,,,,,,,,,,
select_one intention_nonidp,movement_intentions_b12,94. What are your household's current movement intentions for the next twelve months?,ماهي نوايا الانتقال الحالية بالنسبة للاسرة خلال الاشهر ال12 القادمة؟,,,true,${calc_returnee} = 1,,,,,,,,,,,,,,,,,,
select_one intentions12,movement_intentions12,94. What are your household's current movement intentions for the next twelve months?,ماهي نوايا الانتقال الحالية بالنسبة للاسرة خلال الاشهر ال12 القادمة؟,,,true,"${calc_idp} = 1 and not(selected(${movement_intentions},'return'))",,,,,,,,,,,,,,,,,,
select_multiple reasons_displace,movement_intentions_ret,95. What are the main reasons you would consider displacement again? (select max. 3),ماهي الاسباب الرئيسية التي قد تجعلك تقوم بالنزوح مرة اخرى؟ ( حدد 3 كحد اقصى),,,true,"${calc_returnee} = 1 and (selected(${movement_intentions_b}, 'move_inside_iraq') or selected(${movement_intentions_b}, 'move_outside_iraq') or selected(${movement_intentions_b12}, 'move_inside_iraq') or selected(${movement_intentions_b12}, 'move_outside_iraq'))",,"if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)<=3)","You cannot select more than 3 options. You cannot select ""do not know"" or ""decline to answer"" and any other options.",لايجوز تحديد اكثر من  3 خيارات. لا يجوز تحديد لا اعلم مع خيار آخر,,,,,,,,,,,,,,
text,movement_intentions_ret_other,"95.1 If other, please specify","اذا اخرى، الرجاء التحديد",,,true,"selected(${movement_intentions_ret},'other')",,,,,,,,,,,,,,,,,,
select_multiple reasons_return,reason_to_return_to_aoo,96. What are the main reasons why you currently intend to return to your area of origin? (Select max 3),ماهي الاسباب الرئيسية التي تجعلك حاليا تفكر بالعودة الى منطقتك الاصلية؟ ( حدد ثلاثة فقط كحد اقصى),,,true,"${calc_idp} = 1 and (selected(${movement_intentions12}, 'return') or selected(${movement_intentions},'return')) ",,count-selected(.)<=3,You cannot select more than 3 options.,لا يجوز تحديد اكثر من 3 خيارات,,,,,,,,,,,,,,
text,reason_to_return_to_aoo_other,"96.1 If other, please specify","اذا اخرى، الرجاء التحديد",,,true,"selected(${reason_to_return_to_aoo},'other')",,,,,,,,,,,,,,,,,,
select_multiple ox8ul79,why_not_return,"97. If not intending to return within the next year, why not? (select max. 3)","اذا لم تكن تنوي العودة الى منطقة الاصل خلال السنة القادمة، ماهو سبب ذلك؟ ( حدد 3 كحد اقصى)",,,true,"${calc_idp} = 1 and (not(selected(${movement_intentions}, 'return')) and not(selected(${movement_intentions12},'return')) and not(selected(${movement_intentions}, 'wait_to_decide')) and not(selected(${movement_intentions12},'wait_to_decide')))",,"if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)<=3)","You cannot select more than 3 options. You cannot select ""do not know"" or ""decline to answer"" and any other options.",لايجوز تحديد اكثر من  3 خيارات. لا يجوز تحديد لا اعلم مع خيار آخر,,,,,,,,,,,,,,
text,why_not_return_other,"97.1 If other, please specify","اذا اخرى، الرجاء التحديد",,,true,"selected(${why_not_return},'other')",,,,,,,,,,,,,,,,,,
select_one yndd,local_integration,98. Does your household intend to integrate into the local community of your current district in the long-term?, هل تنوي أسرتك الاندماج في المجتمع المحلي لمنطقتك الحالية على المدى الطويل؟,Local integration = Participation in the local economy and society,الاندماج المحلي = المشاركة في الاقتصاد والمجتمع المحلي,true,"${calc_idp} = 1 and selected(${movement_intentions12}, 'current') or selected(${movement_intentions},'current')",,,,,,,,,,,,,,,,,,
end_group,intentions,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,contact_group,Contact,اتصال,,,,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
select_one yes_no,snowballing_willing,99. In order to have accurate information about the needs of people living in your area we would like to do these interviews with as many households as possible. Would you be willing to share contact details from other IDP or Returnee households who we could call to participate in this survey?,"من أجل الحصول على معلومات دقيقة حول احتياجات الأشخاص الذين يعيشون في منطقتك ، نود إجراء هذه المقابلات مع أكبر عدد ممكن من الأسر. هل ستكون على استعداد لمشاركة تفاصيل الاتصال من أسر النازحين أو العائدين الأخرى التي يمكننا الاتصال بها للمشاركة في هذا الاستطلاع؟",,,true,"selected(${dc_method}, 'remote')",,,,,,,,,,,,,,,,,,
begin_group,snowballing,,,,,,"selected(${snowballing_willing},'yes')",,,,,,field-list,,,,,,,,,,,,
note,snowballing_question,Please provide his/her contact details:,يرجى تقديم تفاصيل الاتصال ا,,,,,,,,,,,,,,,,,,,,,,
text,snowballing_name,99.1 Name,الاسم الكامل,,,,,,,,,,,,,,,,,,,,,,
text,snowballing_telephone,99.2 Telephone number,رقم الهاتف,,,true,,,"regex(., '^[0]{1}[0-9]{10}$')",should be 11 digits and start with 0,ينبغي ان يكون 11 رقماً ويبدأ بـ 0,,,,,,,,,,,,,,
select_one yes_no,snowballing_same_district,99.3 Is this person living in the same district as you?,هل يعيش هذا الشخص في نفس القضاء الذي تعيش فيه انت؟,,,true,,,,,,,,,,,,,,,,,,,
select_one governorate_mcna,snowballing_governorate,"99.4 If no, which governorate does the person live in?","اذا كلا، في اي محافظة يعيش هذا الشخص حاليا؟",,,true,"selected(${snowballing_same_district}, 'no')",,,,,,,,,,,,,,,,,,
select_one district_origin,snowballing_district,99.5 Which district does the person live in?,في اي قضاء يعيش هذا الشخص حاليا؟,,,true,"selected(${snowballing_same_district}, 'no')",filter=${snowballing_governorate},,,,,,,,,,,,,,,,,
select_one idp_returnee,snowballing_popgroup,99.6 Is this person part of the returnee or IDP community?,هل هذا الشخص نازح ام عائد؟,,,true,,,,,,,,,,,,,,,,,,,
